Initiating Candidate Pool
Running rounds
Here are the results from a pool run
[Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 90, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 23, Output1: -2, Output2: -2,
 Gene -- Score: 12, Output1: -3, Output2: -9,
 Gene -- Score: 25, Output1: -4, Output2: -8,
 Gene -- Score: 9, Output1: 3, Output2: 3,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 7, Output1: 6, Output2: 6,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 25, Output1: -4, Output2: -4,
 Gene -- Score: 9, Output1: 3, Output2: 3,
 Gene -- Score: 13, Output1: 8, Output2: 4,
 Gene -- Score: 22, Output1: -2, Output2: -1,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 3, Output2: None,
 Gene -- Score: 19, Output1: -18, Output2: -18,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 5,
 Gene -- Score: 5, Output1: None, Output2: 2,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 26, Output1: -5, Output2: -10,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 19, Output1: 2, Output2: 2,
 Gene -- Score: 5, Output1: 0, Output2: -11,
 Gene -- Score: 4, Output1: 30, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 22, Output1: -2, Output2: -1,
 Gene -- Score: 5, Output1: -2, Output2: 0,
 Gene -- Score: 19, Output1: 2, Output2: 1,
 Gene -- Score: 5, Output1: -7, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 1,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 1, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: -7, Output2: None,
 Gene -- Score: 5, Output1: 1, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: -4,
 Gene -- Score: 5, Output1: -2, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 1,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: -1,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 3, Output1: 5, Output2: 15,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 3, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 1, Output2: None,
 Gene -- Score: 25, Output1: 46, Output2: 46,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: -17, Output2: None,
 Gene -- Score: 5, Output1: -11, Output2: None,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 3, Output2: None,
 Gene -- Score: 12, Output1: -3, Output2: -3,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 9, Output1: 3, Output2: 2,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: -1,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 1, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 7,
 Gene -- Score: 5, Output1: 1, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 1,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 10,
 Gene -- Score: 5, Output1: None, Output2: 6,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 0,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: None,
 Gene -- Score: 5, Output1: 0, Output2: 2,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 5, Output1: 0, Output2: 0,
 Gene -- Score: 7, Output1: 7, Output2: 7,
 Gene -- Score: 55, Output1: None, Output2: None,
 Gene -- Score: 5, Output1: -2, Output2: None,
 Gene -- Score: 5, Output1: None, Output2: 6,
 Gene -- Score: 5, Output1: 0, Output2: None,
